Model,ACC,ROC_AUC,BT_ACC,BT_ROC_AUC
Tree,0.8385650224215246,0.7387619749447311,0.76,0.8522920203735144
RForest,0.7937219730941704,0.939388356669123,0.62,0.9507640067911715
MLP,0.7937219730941704,0.6352247605011054,0.62,0.66723259762309
