Model,ACC,ROC_AUC,BT_ACC,BT_ROC_AUC
Tree,0.8427947598253275,0.6212298339957915,0.84,0.5663956639566397
RForest,0.8209606986899564,0.912613981762918,0.82,0.9105691056910569
MLP,0.8209606986899564,0.718026654196867,0.82,0.6260162601626016
