date,Answer,dt_proba,dt_predict,rf_proba,rf_predict,mlp_proba,mlp_predict
2002-10-10,0,0.2682926829268293,0,0.2154403515070656,0,0.2306266822241778,0
2002-11-07,0,0.2682926829268293,0,0.19461838503931905,0,0.23226741833723064,0
2002-12-12,0,0.2682926829268293,0,0.20307249131951227,0,0.24240805162691903,0
2003-01-09,0,0.2682926829268293,0,0.19890582465284562,0,0.16997313873935177,0
2003-02-06,0,0.2682926829268293,0,0.15307249131951228,0,0.17648654710559675,0
2003-03-06,0,0.2682926829268293,0,0.20307249131951227,0,0.19477939624665172,0
2003-04-10,0,0.2682926829268293,0,0.24463575380591612,0,0.11590210094265219,0
2003-05-13,1,0.2682926829268293,0,0.4403483141923895,0,0.11467980407334244,0
2003-06-12,0,0.2682926829268293,0,0.1488024204725828,0,0.13066318721798942,0
2003-07-10,1,0.75,1,0.2937294392539519,0,0.08576857436234496,0
2003-08-07,0,0.0,0,0.13359321640553842,0,0.08196429283917957,0
2003-09-09,0,0.0,0,0.1020455973579194,0,0.08261999345118719,0
2003-10-09,0,0.0,0,0.1520455973579194,0,0.08247130022752946,0
2003-11-06,0,0.0,0,0.125794222488445,0,0.09791215595954701,0
2003-12-11,0,0.0,0,0.17513911012534522,0,0.09014643771458956,0
2004-01-08,0,0.10687022900763359,0,0.13359321640553842,0,0.07052864711616519,0
2004-02-06,0,0.10687022900763359,0,0.12084811836632274,0,0.07138314169200355,0
2004-03-11,0,0.10687022900763359,0,0.11964458052485387,0,0.07087996398680742,0
2004-04-08,0,0.10687022900763359,0,0.09569696147723483,0,0.08060037225059631,0
2004-05-06,0,0.10687022900763359,0,0.11222588709706956,0,0.0908015545647596,0
2004-06-10,0,0.10687022900763359,0,0.1331330855929062,0,0.09139494451399625,0
2004-07-08,0,0.10687022900763359,0,0.12038798755369055,0,0.08944259732709249,0
2004-08-12,1,0.75,1,0.2263124809102326,0,0.09928233264567965,0
2004-09-09,0,0.75,1,0.17599022845004908,0,0.1017407771010095,0
2004-10-07,0,0.75,1,0.13356461766236932,0,0.09560787759840701,0
2004-11-11,1,0.75,1,0.25495477281056933,0,0.09570031008714108,0
2004-12-09,0,0.10687022900763359,0,0.14320235870920128,0,0.08627812498182245,0
2005-01-13,0,0.0,0,0.17470432751664955,0,0.0970667567313222,0
2005-02-15,0,0.10687022900763359,0,0.08264140592167928,0,0.10324505889234632,0
2005-03-10,0,0.10687022900763359,0,0.09966248726916173,0,0.11776716113069034,0
2005-04-07,0,0.10687022900763359,0,0.13497692494810737,0,0.10896479896232157,0
2005-05-12,0,0.10687022900763359,0,0.10266248073727464,0,0.1190248115966084,0
2005-06-09,0,0.10687022900763359,0,0.13654841055972505,0,0.1577867133750615,0
2005-07-07,0,0.10687022900763359,0,0.1706330184447814,0,0.16744792827577268,0
2005-08-11,0,0.10687022900763359,0,0.1756876746240689,0,0.1705268598252308,0
2005-09-08,0,0.10687022900763359,0,0.16286756464763527,0,0.17291810983911118,0
2005-10-11,1,0.10687022900763359,0,0.21738181764159092,0,0.1877178577814955,0
2005-11-10,0,0.10687022900763359,0,0.18869193740749188,0,0.18661363837508788,0
2005-12-08,1,0.2903225806451613,0,0.29663968101898075,0,0.19293953223936872,0
2006-01-12,0,0.10687022900763359,0,0.18038939225149844,0,0.1854314593399317,0
2006-02-09,1,0.2903225806451613,0,0.2622932514615972,0,0.1759533921979499,0
2006-03-09,0,0.2903225806451613,0,0.20621509074722283,0,0.17240814303805418,0
2006-04-07,0,0.2903225806451613,0,0.2583192254118414,0,0.25685681944925676,0
2006-05-11,0,0.2903225806451613,0,0.173796183940026,0,0.26154869486304316,0
2006-06-08,1,0.2903225806451613,0,0.24803196371366726,0,0.28806416570726945,0
2006-07-07,0,0.2903225806451613,0,0.16835595192329297,0,0.28145959592287206,0
2006-08-10,1,0.2903225806451613,0,0.29546155466389973,0,0.28998587223658995,0
2006-09-07,0,0.2903225806451613,0,0.28089281823264434,0,0.28185996151422565,0
2006-10-12,0,0.2903225806451613,0,0.1717979096327113,0,0.3329520812556547,0
2006-11-09,0,0.2903225806451613,0,0.21410591248478456,0,0.3177411211425246,0
2006-12-07,0,0.2903225806451613,0,0.20788514639652664,0,0.31739706064815754,0
2007-01-11,0,0.2903225806451613,0,0.19060290662910162,0,0.23818541292051598,0
2007-02-08,0,0.2903225806451613,0,0.18461913584168427,0,0.2357093623556069,0
2007-03-08,0,0.2903225806451613,0,0.1766584970792864,0,0.237621847572684,0
2007-04-12,0,0.2903225806451613,0,0.22315273666052718,0,0.28820987014510474,0
2007-05-10,0,0.2903225806451613,0,0.16523390748908093,0,0.2983308755855117,0
2007-06-08,0,0.2903225806451613,0,0.15355180333665494,0,0.2831184217875337,0
2007-07-12,1,0.2903225806451613,0,0.2204347118781206,0,0.2648065227567097,0
2007-08-09,1,0.75,1,0.34817292853268267,0,0.2598999985688396,0
2007-09-07,0,0.10687022900763359,0,0.19602333688685636,0,0.21508847541216708,0
2007-10-11,0,0.10687022900763359,0,0.1785341514988278,0,0.34424617637457794,0
2007-11-08,0,0.10687022900763359,0,0.3163120948449505,0,0.2721465138284151,0
2007-12-07,0,0.10687022900763359,0,0.1516254108233178,0,0.2459869964029923,0
2008-01-10,0,0.2682926829268293,0,0.15881851368833536,0,0.3323389330888762,0
2008-02-13,0,0.2682926829268293,0,0.1753460080667527,0,0.31126845430403405,0
2008-03-07,0,0.2682926829268293,0,0.24322426786392692,0,0.26067072232452576,0
2008-04-10,0,0.2682926829268293,0,0.19045743699364776,0,0.31434161363190455,0
