date,dissim_t1,dissim_t2,dissim_t3,dissim_t4,dissim_t5,dissim_t6,base_rate_diff,ko-us_gap_t1,tr2
2022-04-14,0.0961538461538461,0.1294420240185503,0.066221029683438,0.0509987993322933,0.074140558036853,0.0753294076428729,1,1.125,5.9787937364999
2022-05-26,0.0655880386465646,0.0961538461538461,0.1294420240185503,0.066221029683438,0.0509987993322933,0.074140558036853,1,1.125,5.9787937364999
2022-07-13,0.0592594687121984,0.0655880386465646,0.0961538461538461,0.1294420240185503,0.066221029683438,0.0509987993322933,1,0.875,7.04621630086066
2022-08-25,0.0868868946613247,0.0592594687121984,0.0655880386465646,0.0961538461538461,0.1294420240185503,0.066221029683438,1,0.625,7.04621630086066
2022-10-12,0.1037849230217897,0.0868868946613247,0.0592594687121984,0.0655880386465646,0.0961538461538461,0.1294420240185503,1,0.125,4.91410191882539
2022-11-24,0.0925886036338751,0.1037849230217897,0.0868868946613247,0.0592594687121984,0.0655880386465646,0.0961538461538461,1,-0.125,4.91410191882539
2023-01-13,0.0828140997298151,0.0925886036338751,0.1037849230217897,0.0868868946613247,0.0592594687121984,0.0655880386465646,0,-0.625,1.87961638275402
2023-02-23,0.0719930950816444,0.0828140997298151,0.0925886036338751,0.1037849230217897,0.0868868946613247,0.0592594687121984,0,-0.875,1.87961638275402
2023-04-11,0.0736066175211547,0.0719930950816444,0.0828140997298151,0.0925886036338751,0.1037849230217897,0.0868868946613247,0,-1.125,1.87961638275402
