,cosine_similarity,dissimilarity,base_rate,base_rate_diff,FFR,ko-us_gap,governor,president,tr1,tr2
2017-02-23,0.9228548413500972,0.07714515864990279,1.25,0.0,0.625,0.625,이주열,박근혜,3.44973381810469,3.69988066223421
2017-04-13,0.958168182763433,0.04183181723656704,1.25,0.0,0.875,0.375,이주열,박근혜,2.88343284356499,3.54120049267683
2017-05-25,0.9572139408643191,0.0427860591356809,1.25,0.0,0.875,0.375,이주열,문재인,2.88343284356499,3.54120049267683
2017-07-13,0.9334294264600568,0.06657057353994322,1.25,0.0,1.125,0.125,이주열,문재인,3.89902279806393,2.78729522440487
2017-08-31,0.9488947269572351,0.05110527304276491,1.25,0.0,1.125,0.125,이주열,문재인,3.89902279806393,2.78729522440487
2017-10-19,0.9398055657143709,0.060194434285629095,1.25,0.0,1.125,0.125,이주열,문재인,2.28963874174753,3.45044001437938
2017-11-30,0.9559835760520049,0.0440164239479951,1.5,1.0,1.125,0.375,이주열,문재인,2.28963874174753,3.45044001437938
2018-01-18,0.9563192395072507,0.04368076049274927,1.5,0.0,1.375,0.125,이주열,문재인,1.79832119735244,2.23736028831893
2018-02-27,0.9542956060463258,0.045704393953674205,1.5,0.0,1.375,0.125,이주열,문재인,1.79832119735244,2.23736028831893
2018-04-12,0.9522798029032518,0.04772019709674824,1.5,0.0,1.625,-0.125,이주열,문재인,2.50315603292732,2.68995509317113
2018-05-24,0.9424681814365241,0.05753181856347589,1.5,0.0,1.625,-0.125,이주열,문재인,2.50315603292732,2.68995509317113
2018-07-12,0.9475726885312086,0.05242731146879143,1.5,0.0,1.875,-0.375,이주열,문재인,2.29362215689274,1.75383455171863
2018-08-31,0.9547470315410475,0.04525296845895255,1.5,0.0,1.875,-0.375,이주열,문재인,2.29362215689274,1.75383455171863
2018-10-18,0.9488805778972212,0.051119422102778755,1.5,0.0,2.125,-0.625,이주열,문재인,3.08725727279166,3.17469902895334
2018-11-30,0.9521473550202396,0.047852644979760384,1.75,1.0,2.125,-0.375,이주열,문재인,3.08725727279166,3.17469902895334
2019-01-24,0.9346532753182056,0.06534672468179437,1.75,0.0,2.375,-0.625,이주열,문재인,0.591670253056199,1.11676619468466
2019-02-28,0.9538279136120463,0.04617208638795367,1.75,0.0,2.375,-0.625,이주열,문재인,0.591670253056199,1.11676619468466
2019-04-18,0.9369928131301808,0.06300718686981921,1.75,0.0,2.375,-0.625,이주열,문재인,0.988627488083663,0.524516144751083
2019-05-31,0.9479597117059839,0.05204028829401608,1.75,0.0,2.375,-0.625,이주열,문재인,0.988627488083663,0.524516144751083
2019-07-18,0.9335236673181824,0.06647633268181763,1.5,1.0,2.375,-0.875,이주열,문재인,0.030673443236719,-0.438997243462816
2019-08-30,0.925922534706788,0.07407746529321202,1.5,0.0,2.125,-0.625,이주열,문재인,0.030673443236719,-0.438997243462816
2019-10-16,0.9539457341210211,0.04605426587897887,1.25,1.0,1.875,-0.625,이주열,문재인,0.683298650879581,0.164350941560603
2019-11-29,0.9387105969489572,0.0612894030510428,1.25,0.0,1.625,-0.375,이주열,문재인,0.683298650879581,0.164350941560603
2020-01-17,0.936292274519188,0.06370772548081205,1.25,0.0,1.625,-0.375,이주열,문재인,1.08985018547102,2.08599244249195
2020-02-27,0.9035475530650776,0.09645244693492239,1.25,0.0,1.625,-0.375,이주열,문재인,1.08985018547102,2.08599244249195
2020-03-16,0.6039670896881718,0.3960329103118282,1.25,0.0,0.125,1.125,이주열,문재인,1.08985018547102,2.08599244249195
2020-04-09,0.7072397013501424,0.29276029864985764,0.75,1.0,0.125,0.625,이주열,문재인,-2.33705025922732,1.53220058679008
2020-05-28,0.8753665435978651,0.12463345640213486,0.5,1.0,0.125,0.375,이주열,문재인,-2.33705025922732,1.53220058679008
2020-07-16,0.8894624478633358,0.11053755213666416,0.5,0.0,0.125,0.375,이주열,문재인,-0.406518568932268,2.13528703392619
2020-08-27,0.9352240272537035,0.06477597274629654,0.5,0.0,0.125,0.375,이주열,문재인,-0.406518568932268,2.13528703392619
2020-10-14,0.9483498794698959,0.05165012053010409,0.5,0.0,0.125,0.375,이주열,문재인,-0.757488244842028,2.72076349440971
2020-11-26,0.932889485751199,0.06711051424880099,0.5,0.0,0.125,0.375,이주열,문재인,-0.757488244842028,2.72076349440971
2021-01-15,0.9390694680101953,0.06093053198980469,0.5,0.0,0.125,0.375,이주열,문재인,2.2313038759504,4.44163399844653
2021-02-25,0.9375195680971947,0.06248043190280528,0.5,0.0,0.125,0.375,이주열,문재인,2.2313038759504,4.44163399844653
2021-04-15,0.938317438726292,0.06168256127370797,0.5,0.0,0.125,0.375,이주열,문재인,5.70473789354307,6.8875744838184
2021-05-27,0.9247445295557053,0.0752554704442947,0.5,0.0,0.125,0.375,이주열,문재인,5.70473789354307,6.8875744838184
2021-07-15,0.924670592357127,0.07532940764287299,0.5,0.0,0.125,0.375,이주열,문재인,4.6810668376956,6.41227854921306
2021-08-26,0.925859441963147,0.07414055803685304,0.75,1.0,0.125,0.625,이주열,문재인,4.6810668376956,6.41227854921306
2021-10-12,0.9490012006677067,0.05099879933229334,0.75,0.0,0.125,0.625,이주열,문재인,6.19503127944875,6.67182895532416
2021-11-25,0.933778970316562,0.06622102968343802,1.0,1.0,0.125,0.875,이주열,문재인,6.19503127944875,6.67182895532416
2022-01-14,0.8705579759814497,0.12944202401855032,1.25,1.0,0.125,1.125,이주열,문재인,5.97850561189209,5.62329455627545
2022-02-24,0.9038461538461539,0.09615384615384615,1.25,0.0,0.125,1.125,이주열,문재인,5.97850561189209,5.62329455627545
2022-04-14,0.9344119613534354,0.0655880386465646,1.5,1.0,0.375,1.125,이창용,문재인,8.2004524203121,5.9787937364999
2022-05-26,0.9407405312878016,0.05925946871219845,1.75,1.0,0.875,0.875,이창용,윤석열,8.2004524203121,5.9787937364999
2022-07-13,0.9131131053386753,0.08688689466132471,2.25,1.0,1.625,0.625,이창용,윤석열,8.96833087975788,7.04621630086066
2022-08-25,0.8962150769782102,0.10378492302178977,2.5,1.0,2.375,0.125,이창용,윤석열,8.96833087975788,7.04621630086066
2022-10-12,0.9074113963661249,0.09258860363387511,3.0,1.0,3.125,-0.125,이창용,윤석열,7.22583150184763,4.91410191882539
2022-11-24,0.9171859002701849,0.08281409972981513,3.25,1.0,3.875,-0.625,이창용,윤석열,7.22583150184763,4.91410191882539
2023-01-13,0.9280069049183556,0.07199309508164442,3.5,1.0,4.375,-0.875,이창용,윤석열,6.25015009828916,1.87961638275402
2023-02-23,0.9263933824788453,0.07360661752115472,3.5,0.0,4.625,-1.125,이창용,윤석열,6.25015009828916,1.87961638275402
2023-04-11,0.9171567972232384,0.0828432027767616,3.5,0.0,4.875,-1.375,이창용,윤석열,6.25015009828916,1.87961638275402
2023-05-25,0.9165109165426204,0.0834890834573796,3.5,0.0,5.125,-1.625,이창용,윤석열,6.25015009828916,1.87961638275402
