date,dissim_t1,dissim_t2,dissim_t3,dissim_t4,dissim_t5,dissim_t6,base_rate_diff,ko-us_gap_t1,tr1
2002-04-04,0.2463310701208699,0.1540217460991088,0.2015370038295574,0.2297762651015897,0.4024339072358306,0.3432639266707307,1,2.25,4.31938134180924
2002-05-07,0.3155677231323224,0.2463310701208699,0.1540217460991088,0.2015370038295574,0.2297762651015897,0.4024339072358306,0,2.25,4.31938134180924
2002-06-05,0.3869371572987928,0.3155677231323224,0.2463310701208699,0.1540217460991088,0.2015370038295574,0.2297762651015897,0,2.5,4.31938134180924
2002-07-04,0.4456238059460202,0.3869371572987928,0.3155677231323224,0.2463310701208699,0.1540217460991088,0.2015370038295574,0,2.5,4.34586084728843
2002-08-06,0.3209151310690878,0.4456238059460202,0.3869371572987928,0.3155677231323224,0.2463310701208699,0.1540217460991088,0,2.5,4.34586084728843
2002-09-12,0.3558035693064663,0.3209151310690878,0.4456238059460202,0.3869371572987928,0.3155677231323224,0.2463310701208699,0,2.5,4.34586084728843
2002-10-10,0.4327494417135504,0.3558035693064663,0.3209151310690878,0.4456238059460202,0.3869371572987928,0.3155677231323224,0,2.5,5.40227474013467
2002-11-07,0.2791063270580829,0.4327494417135504,0.3558035693064663,0.3209151310690878,0.4456238059460202,0.3869371572987928,0,2.5,5.40227474013467
2002-12-12,0.3688038649951117,0.2791063270580829,0.4327494417135504,0.3558035693064663,0.3209151310690878,0.4456238059460202,0,3.0,5.40227474013467
2003-01-09,0.3708254699599337,0.3688038649951117,0.2791063270580829,0.4327494417135504,0.3558035693064663,0.3209151310690878,0,3.0,4.83604724351091
2003-02-06,0.3212496683139901,0.3708254699599337,0.3688038649951117,0.2791063270580829,0.4327494417135504,0.3558035693064663,0,3.0,4.83604724351091
2003-03-06,0.2606552037359002,0.3212496683139901,0.3708254699599337,0.3688038649951117,0.2791063270580829,0.4327494417135504,0,3.0,4.83604724351091
2003-04-10,0.3871412648940781,0.2606552037359002,0.3212496683139901,0.3708254699599337,0.3688038649951117,0.2791063270580829,1,3.0,2.85843106351198
2003-05-13,0.3837931066845228,0.3871412648940781,0.2606552037359002,0.3212496683139901,0.3708254699599337,0.3688038649951117,0,3.0,2.85843106351198
2003-06-12,0.4598867634641298,0.3837931066845228,0.3871412648940781,0.2606552037359002,0.3212496683139901,0.3708254699599337,1,2.75,2.85843106351198
2003-07-10,0.3076029899158493,0.4598867634641298,0.3837931066845228,0.3871412648940781,0.2606552037359002,0.3212496683139901,0,2.75,2.58711396552075
2003-08-07,0.2701146346910329,0.3076029899158493,0.4598867634641298,0.3837931066845228,0.3871412648940781,0.2606552037359002,0,2.75,2.58711396552075
2003-09-09,0.300305261137475,0.2701146346910329,0.3076029899158493,0.4598867634641298,0.3837931066845228,0.3871412648940781,0,2.75,2.58711396552075
2003-10-09,0.300893008254828,0.300305261137475,0.2701146346910329,0.3076029899158493,0.4598867634641298,0.3837931066845228,0,2.75,4.08472016298116
2003-11-06,0.420360024746903,0.300893008254828,0.300305261137475,0.2701146346910329,0.3076029899158493,0.4598867634641298,0,2.75,4.08472016298116
2003-12-11,0.3772332550909004,0.420360024746903,0.300893008254828,0.300305261137475,0.2701146346910329,0.3076029899158493,0,2.75,4.08472016298116
2004-01-08,0.2233771116302122,0.3772332550909004,0.420360024746903,0.300893008254828,0.300305261137475,0.2701146346910329,0,2.75,4.55264861781875
2004-02-06,0.2077151193197079,0.2233771116302122,0.3772332550909004,0.420360024746903,0.300893008254828,0.300305261137475,0,2.75,4.55264861781875
2004-03-11,0.1972840089834032,0.2077151193197079,0.2233771116302122,0.3772332550909004,0.420360024746903,0.300893008254828,0,2.75,4.55264861781875
2004-04-08,0.2092969992203889,0.1972840089834032,0.2077151193197079,0.2233771116302122,0.3772332550909004,0.420360024746903,0,2.75,5.2875741545758
2004-05-06,0.2023742127089143,0.2092969992203889,0.1972840089834032,0.2077151193197079,0.2233771116302122,0.3772332550909004,0,2.75,5.2875741545758
2004-06-10,0.2311445568560931,0.2023742127089143,0.2092969992203889,0.1972840089834032,0.2077151193197079,0.2233771116302122,0,2.75,5.2875741545758
2004-07-08,0.1275925982912495,0.2311445568560931,0.2023742127089143,0.2092969992203889,0.1972840089834032,0.2077151193197079,1,2.75,5.91325300965864
2004-08-12,0.2972682211034685,0.1275925982912495,0.2311445568560931,0.2023742127089143,0.2092969992203889,0.1972840089834032,0,2.5,5.91325300965864
2004-09-09,0.2727266032544829,0.2972682211034685,0.1275925982912495,0.2311445568560931,0.2023742127089143,0.2092969992203889,0,2.0,5.91325300965864
2004-10-07,0.3448939627681801,0.2727266032544829,0.2972682211034685,0.1275925982912495,0.2311445568560931,0.2023742127089143,1,2.0,3.67343335011405
2004-11-11,0.2454533697557468,0.3448939627681801,0.2727266032544829,0.2972682211034685,0.1275925982912495,0.2311445568560931,0,1.75,3.67343335011405
2004-12-09,0.2289993306539859,0.2454533697557468,0.3448939627681801,0.2727266032544829,0.2972682211034685,0.1275925982912495,0,1.25,3.67343335011405
2005-01-13,0.3459507553009652,0.2289993306539859,0.2454533697557468,0.3448939627681801,0.2727266032544829,0.2972682211034685,0,1.25,3.35553645525006
2005-02-15,0.1902466360097804,0.3459507553009652,0.2289993306539859,0.2454533697557468,0.3448939627681801,0.2727266032544829,0,1.0,3.35553645525006
2005-03-10,0.0717064915251136,0.1902466360097804,0.3459507553009652,0.2289993306539859,0.2454533697557468,0.3448939627681801,0,0.75,3.35553645525006
