date,Answer,dt_proba,dt_predict,rf_proba,rf_predict,mlp_proba,mlp_predict
2002-10-10,0,0.0,0,0.12970588235294117,0,1.6862522780107498e-08,0
2002-11-07,0,0.0,0,0.029705882352941176,0,3.690778480896333e-09,0
2002-12-12,0,0.0,0,0.09220588235294118,0,7.012695029108091e-08,0
2003-01-09,0,0.0,0,0.04970588235294118,0,0.000235107661884503,0
2003-02-06,0,0.0,0,0.07470588235294118,0,0.004678269546026371,0
2003-03-06,0,0.0,0,0.04970588235294118,0,6.01712908775988e-06,0
2003-04-10,1,0.16666666666666666,0,0.37137254901960787,0,0.9885956330429517,1
2003-05-13,0,0.0,0,0.07970588235294118,0,0.005673539542277234,0
2003-06-12,1,1.0,1,0.5680392156862746,1,0.9998358480024421,1
2003-07-10,0,0.0,0,0.03720588235294118,0,6.778922663044245e-05,0
2003-08-07,0,0.16666666666666666,0,0.16442810457516338,0,2.8146766395945063e-05,0
2003-09-09,0,0.0,0,0.07470588235294118,0,2.5320032148011154e-06,0
2003-10-09,0,0.0,0,0.024705882352941178,0,5.291579869561155e-06,0
2003-11-06,0,0.0,0,0.04470588235294118,0,9.56296337522633e-06,0
2003-12-11,0,0.0,0,0.04470588235294118,0,0.00029416219733446257,0
2004-01-08,0,0.16666666666666666,0,0.12514239028944912,0,0.043654356328627436,0
2004-02-06,0,0.0,0,0.030625000000000003,0,0.00041463096457310865,0
2004-03-11,0,0.0,0,0.010624999999999999,0,0.00010123674354674828,0
2004-04-08,0,0.0,0,0.026828007518796992,0,0.00031531203118091694,0
2004-05-06,0,0.0,0,0.07307800751879698,0,0.008884883589683337,0
2004-06-10,0,0.16666666666666666,0,0.09809784878863825,0,0.12354388894746766,0
2004-07-08,1,0.16666666666666666,0,0.34122284878863823,0,0.8208315967364859,1
2004-08-12,0,0.16666666666666666,0,0.17856150793650793,0,0.12281488476900063,0
2004-09-09,0,0.16666666666666666,0,0.15592873114157943,0,0.002116106358722082,0
2004-10-07,1,0.16666666666666666,0,0.42887254901960786,0,0.8688856869243744,1
2004-11-11,0,0.16666666666666666,0,0.15904761904761905,0,0.008973471792917461,0
2004-12-09,0,0.16666666666666666,0,0.20666666666666664,0,0.0006765934810967339,0
2005-01-13,0,0.0,0,0.038125,0,2.6467945171655426e-05,0
2005-02-15,0,0.16666666666666666,0,0.1417982456140351,0,5.7661946497873874e-05,0
2005-03-10,0,0.0,0,0.04825657894736842,0,3.8135171115535525e-05,0
2005-04-07,0,0.16666666666666666,0,0.16275793650793652,0,2.8567039231652516e-05,0
2005-05-12,0,0.16666666666666666,0,0.04613356307435255,0,2.2551484404716376e-05,0
2005-06-09,0,0.0,0,0.06294642857142857,0,0.00015116999287614427,0
2005-07-07,0,0.16666666666666666,0,0.164375,0,0.001123634557981889,0
2005-08-11,0,0.16666666666666666,0,0.12492324561403509,0,0.005699752214837123,0
2005-09-08,1,1.0,1,0.6616666666666667,1,0.9960050722562932,1
2005-10-11,0,0.16666666666666666,0,0.1484252297410192,0,0.005520793593450163,0
2005-11-10,1,1.0,1,0.47534722222222225,0,0.9964853681836541,1
2005-12-08,0,0.0,0,0.2239186507936508,0,0.0009414733311574416,0
2006-01-12,1,1.0,1,0.5736805555555555,1,0.9996795344439399,1
2006-02-09,0,0.16666666666666666,0,0.14547880116959064,0,2.5242664112437613e-05,0
2006-03-09,0,0.16666666666666666,0,0.08309784878863827,0,3.912866893699129e-05,0
