Model,ACC,ROC_AUC,BT_ACC,BT_ROC_AUC
Tree,0.9166666666666666,0.8875000000000001,0.94,0.8125
RForest,0.8958333333333334,0.946875,0.92,0.891304347826087
MLP,0.8333333333333334,0.625,0.92,0.6793478260869565
