Model,ACC,ROC_AUC,BT_ACC,BT_ROC_AUC
Tree,0.9285714285714286,0.9081632653061225,0.88,0.9313929313929313
RForest,0.9047619047619048,1.0,0.86,1.0
MLP,1.0,1.0,1.0,1.0
