date,dissim_t1,dissim_t2,dissim_t3,dissim_t4,dissim_t5,dissim_t6,base_rate_diff,ko-us_gap_t1,tr2
2010-04-09,0.0993324109978688,0.1611660025128473,0.1830959969179947,0.1228360053262491,0.1179328874481903,0.1187200151117093,0,1.875,3.10054952422931
2010-05-12,0.1674694457120152,0.0993324109978688,0.1611660025128473,0.1830959969179947,0.1228360053262491,0.1179328874481903,0,1.875,3.10054952422931
2010-06-10,0.0905695344431891,0.1674694457120152,0.0993324109978688,0.1611660025128473,0.1830959969179947,0.1228360053262491,1,1.875,3.10054952422931
2010-07-09,0.1194406646941774,0.0905695344431891,0.1674694457120152,0.0993324109978688,0.1611660025128473,0.1830959969179947,0,1.875,2.96860209770873
2010-08-12,0.1258340042765152,0.1194406646941774,0.0905695344431891,0.1674694457120152,0.0993324109978688,0.1611660025128473,0,2.125,2.96860209770873
2010-09-09,0.0467729536580822,0.1258340042765152,0.1194406646941774,0.0905695344431891,0.1674694457120152,0.0993324109978688,0,2.125,2.96860209770873
2010-10-14,0.0556284198765449,0.0467729536580822,0.1258340042765152,0.1194406646941774,0.0905695344431891,0.1674694457120152,1,2.125,4.49844981650087
2010-11-16,0.0939218465551248,0.0556284198765449,0.0467729536580822,0.1258340042765152,0.1194406646941774,0.0905695344431891,0,2.125,4.49844981650087
2010-12-09,0.0695190686768709,0.0939218465551248,0.0556284198765449,0.0467729536580822,0.1258340042765152,0.1194406646941774,1,2.375,4.49844981650087
2011-01-13,0.0753830457646965,0.0695190686768709,0.0939218465551248,0.0556284198765449,0.0467729536580822,0.1258340042765152,0,2.375,5.39692299700766
2011-02-11,0.0912001033523602,0.0753830457646965,0.0695190686768709,0.0939218465551248,0.0556284198765449,0.0467729536580822,1,2.625,5.39692299700766
2011-03-10,0.0583356819517368,0.0912001033523602,0.0753830457646965,0.0695190686768709,0.0939218465551248,0.0556284198765449,0,2.625,5.39692299700766
2011-04-12,0.091166126034807,0.0583356819517368,0.0912001033523602,0.0753830457646965,0.0695190686768709,0.0939218465551248,0,2.875,6.02474172370556
2011-05-13,0.0618466065975904,0.091166126034807,0.0583356819517368,0.0912001033523602,0.0753830457646965,0.0695190686768709,1,2.875,6.02474172370556
2011-06-10,0.0531903959565335,0.0618466065975904,0.091166126034807,0.0583356819517368,0.0912001033523602,0.0753830457646965,0,2.875,6.02474172370556
2011-07-14,0.0989970706144526,0.0531903959565335,0.0618466065975904,0.091166126034807,0.0583356819517368,0.0912001033523602,0,3.125,6.06847548376334
2011-08-11,0.0969290211633274,0.0989970706144526,0.0531903959565335,0.0618466065975904,0.091166126034807,0.0583356819517368,0,3.125,6.06847548376334
2011-09-08,0.0697992440071678,0.0969290211633274,0.0989970706144526,0.0531903959565335,0.0618466065975904,0.091166126034807,0,3.125,6.06847548376334
2011-10-13,0.0828586276416983,0.0697992440071678,0.0969290211633274,0.0989970706144526,0.0531903959565335,0.0618466065975904,0,3.125,5.71747207578436
2011-12-08,0.0643716492764778,0.0828586276416983,0.0697992440071678,0.0969290211633274,0.0989970706144526,0.0531903959565335,0,3.125,5.71747207578436
2012-01-13,0.0701305874731752,0.0643716492764778,0.0828586276416983,0.0697992440071678,0.0969290211633274,0.0989970706144526,0,3.125,3.51322184548851
2012-02-09,0.0692300272704773,0.0701305874731752,0.0643716492764778,0.0828586276416983,0.0697992440071678,0.0969290211633274,0,3.125,3.51322184548851
2012-03-08,0.0724000849242767,0.0692300272704773,0.0701305874731752,0.0643716492764778,0.0828586276416983,0.0697992440071678,0,3.125,3.51322184548851
2012-04-13,0.0392885749652949,0.0724000849242767,0.0692300272704773,0.0701305874731752,0.0643716492764778,0.0828586276416983,0,3.125,3.25586547046314
2012-05-10,0.0641843429157958,0.0392885749652949,0.0724000849242767,0.0692300272704773,0.0701305874731752,0.0643716492764778,0,3.125,3.25586547046314
2012-06-08,0.0529306912872705,0.0641843429157958,0.0392885749652949,0.0724000849242767,0.0692300272704773,0.0701305874731752,1,3.125,3.25586547046314
2012-07-12,0.0793211554848547,0.0529306912872705,0.0641843429157958,0.0392885749652949,0.0724000849242767,0.0692300272704773,0,3.125,2.33069991045466
2012-08-09,0.1234191386446595,0.0793211554848547,0.0529306912872705,0.0641843429157958,0.0392885749652949,0.0724000849242767,0,2.875,2.33069991045466
2012-09-13,0.0987844261916423,0.1234191386446595,0.0793211554848547,0.0529306912872705,0.0641843429157958,0.0392885749652949,1,2.875,2.33069991045466
2012-10-11,0.0915197785516629,0.0987844261916423,0.1234191386446595,0.0793211554848547,0.0529306912872705,0.0641843429157958,0,2.875,3.08716286163165
2012-11-09,0.036545981218695,0.0915197785516629,0.0987844261916423,0.1234191386446595,0.0793211554848547,0.0529306912872705,0,2.625,3.08716286163165
2012-12-13,0.075355263220731,0.036545981218695,0.0915197785516629,0.0987844261916423,0.1234191386446595,0.0793211554848547,0,2.625,3.08716286163165
2013-01-11,0.0735500611188505,0.075355263220731,0.036545981218695,0.0915197785516629,0.0987844261916423,0.1234191386446595,0,2.625,1.56916355800077
2013-02-14,0.0637403690827991,0.0735500611188505,0.075355263220731,0.036545981218695,0.0915197785516629,0.0987844261916423,0,2.625,1.56916355800077
2013-03-14,0.0707471817176598,0.0637403690827991,0.0735500611188505,0.075355263220731,0.036545981218695,0.0915197785516629,0,2.625,1.56916355800077
2013-04-11,0.0655949291031626,0.0707471817176598,0.0637403690827991,0.0735500611188505,0.075355263220731,0.036545981218695,1,2.625,1.17065971723526
