Model,ACC,ROC_AUC,BT_ACC,BT_ROC_AUC
Tree,0.9148936170212766,0.905448717948718,0.92,0.9136904761904762
RForest,0.9361702127659575,1.0,0.94,1.0
MLP,0.8297872340425532,0.6698717948717949,0.84,0.5624999999999999
