date,Answer,dt_proba,dt_predict,rf_proba,rf_predict,mlp_proba,mlp_predict
2010-04-09,0,0.02857142857142857,0,0.16230528243686138,0,0.33909515789178524,0
2010-05-12,0,0.02857142857142857,0,0.21704212454212451,0,0.3326609752109009,0
2010-06-10,1,1.0,1,0.5206135531135531,1,0.3246232318414423,0
2010-07-09,0,0.02857142857142857,0,0.1012087912087912,0,0.2986065540933921,0
2010-08-12,0,0.02857142857142857,0,0.12954212454212455,0,0.24567767618453226,0
2010-09-09,0,0.02857142857142857,0,0.06537545787545787,0,0.2442698609776633,0
2010-10-14,1,0.02857142857142857,0,0.5443107769423559,1,0.3509179243188501,0
2010-11-16,0,0.375,0,0.1750159051474841,0,0.3259057989849626,0
2010-12-09,1,0.375,0,0.45701465201465197,0,0.2872906396277419,0
2011-01-13,0,0.02857142857142857,0,0.1420047006656914,0,0.3450414270774144,0
2011-02-11,1,1.0,1,0.5609173669467787,1,0.27310955866353703,0
2011-03-10,0,0.02857142857142857,0,0.2557301908617698,0,0.2726729239228292,0
2011-04-12,0,0.02857142857142857,0,0.11129041495140565,0,0.19984499063095007,0
2011-05-13,1,0.375,0,0.34442066705224594,0,0.19338541624461372,0
2011-06-10,0,0.02857142857142857,0,0.19584923848081742,0,0.20012017075684235,0
2011-07-14,0,0.02857142857142857,0,0.14676660542759615,0,0.17492468646733375,0
2011-08-11,0,0.375,0,0.11406352419510316,0,0.16442901669036167,0
2011-09-08,0,0.02857142857142857,0,0.20117136733235802,0,0.17393313463305005,0
2011-10-13,0,0.02857142857142857,0,0.04357979224078294,0,0.13312052088236978,0
2011-12-08,0,0.02857142857142857,0,0.032305282436861385,0,0.12871187101849793,0
2012-01-13,0,0.02857142857142857,0,0.03944813957971853,0,0.081203759868981,0
2012-02-09,0,0.02857142857142857,0,0.03524645890744961,0,0.08199776616509417,0
2012-03-08,0,0.02857142857142857,0,0.042389316050306755,0,0.08040040256466296,0
2012-04-13,0,0.02857142857142857,0,0.0761148062463852,0,0.09622202354654573,0
2012-05-10,0,0.02857142857142857,0,0.06837671100828997,0,0.09577260663345598,0
2012-06-08,1,0.375,0,0.23764411027568927,0,0.09527343517830508,0
2012-07-12,0,0.02857142857142857,0,0.22558528674627745,0,0.11662351075853251,0
2012-08-09,0,0.375,0,0.0808233819843727,0,0.11895766190123916,0
2012-09-13,1,1.0,1,0.7725840336134453,1,0.12036225231106384,0
2012-10-11,0,0.02857142857142857,0,0.038579792240782944,0,0.11480445532964792,0
2012-11-09,0,0.02857142857142857,0,0.05730528243686138,0,0.12465127013728244,0
2012-12-13,0,0.02857142857142857,0,0.029567187198766144,0,0.12430981598833561,0
2013-01-11,0,0.375,0,0.10288220551378446,0,0.12201531945596243,0
2013-02-14,0,0.02857142857142857,0,0.07778147291305187,0,0.12810158924988313,0
2013-03-14,0,0.02857142857142857,0,0.04084169700268771,0,0.12701281532811634,0
2013-04-11,1,1.0,1,0.671923076923077,1,0.13285704431189566,0
2013-05-09,0,0.02857142857142857,0,0.0807226493836401,0,0.13259449486857275,0
2013-06-13,0,0.02857142857142857,0,0.07607979224078296,0,0.13535255576537863,0
2013-07-11,0,0.02857142857142857,0,0.02238931605030676,0,0.11835983512206094,0
2013-08-08,0,0.02857142857142857,0,0.03072264938364009,0,0.1239715651657341,0
2013-09-12,0,0.02857142857142857,0,0.023579792240782948,0,0.12615430958040152,0
2013-10-10,0,0.02857142857142857,0,0.04037545787545787,0,0.12552127115211026,0
2013-11-14,0,0.02857142857142857,0,0.06120879120879121,0,0.12838100136355987,0
2013-12-12,0,0.02857142857142857,0,0.05215122081221152,0,0.1332472349207737,0
2014-01-09,0,0.02857142857142857,0,0.040638615770194716,0,0.13110325196122277,0
2014-02-13,0,0.02857142857142857,0,0.03671004434162328,0,0.13148604036444392,0
2014-03-13,0,0.375,0,0.08441312557411629,0,0.1309484322469755,0
