Model,ACC,ROC_AUC,BT_ACC,BT_ROC_AUC
Tree,0.881578947368421,0.7918032786885247,0.9,0.7764227642276423
RForest,0.8421052631578947,0.9967213114754098,0.84,1.0
MLP,0.7763157894736842,0.715846994535519,0.8,0.7642276422764228
