Model,ACC,ROC_AUC,BT_ACC,BT_ROC_AUC
Tree,0.8421052631578947,0.794535519125683,0.86,0.7547425474254743
RForest,0.881578947368421,0.9912568306010929,0.88,0.9810298102981031
MLP,0.8157894736842105,0.6939890710382514,0.82,0.5989159891598915
