date,Answer,dt_proba,dt_predict,rf_proba,rf_predict,mlp_proba,mlp_predict
2014-04-10,0,0.09433962264150944,0,0.17434122183534284,0,0.06906372649099,0
2014-05-09,0,0.09433962264150944,0,0.060249133368254396,0,0.07105218613778656,0
2014-06-12,0,0.09433962264150944,0,0.07587972499884602,0,0.0711668724298608,0
2014-07-10,1,0.09433962264150944,0,0.43028495855820326,0,0.1039787103947177,0
2014-08-14,0,0.09433962264150944,0,0.17548163197594968,0,0.10575963463377214,0
2014-09-12,1,0.4666666666666667,0,0.2800434711030062,0,0.1048918865816596,0
2014-10-15,0,0.09433962264150944,0,0.05449514184006932,0,0.1718232244597669,0
2014-11-13,0,0.4666666666666667,0,0.23256329536476592,0,0.16670930647720858,0
2014-12-11,0,0.0,0,0.1714663883160493,0,0.1642604446741754,0
2015-01-15,0,0.09433962264150944,0,0.2411388452823565,0,0.22215619382807766,0
2015-02-17,1,0.4666666666666667,0,0.5165052257462126,1,0.22914940683087248,0
2015-03-12,0,0.09433962264150944,0,0.1556803522389894,0,0.2189143652673907,0
2015-04-09,0,0.09433962264150944,0,0.24601942122814982,0,0.2474565764131332,0
2015-05-15,1,0.09433962264150944,0,0.42768034095358576,0,0.24957342140855815,0
2015-06-11,0,0.09433962264150944,0,0.14093919062282775,0,0.2518885699675164,0
2015-07-09,0,0.4666666666666667,0,0.17764558121700086,0,0.17841959324881534,0
2015-08-13,0,0.09433962264150944,0,0.10617076908021268,0,0.17807389455725886,0
2015-09-11,0,0.09433962264150944,0,0.130044626853264,0,0.17693071330714125,0
2015-10-15,0,0.09433962264150944,0,0.1439104876949313,0,0.1336191438542114,0
2015-11-12,0,0.09433962264150944,0,0.09743916555828658,0,0.1328035422690113,0
2015-12-10,0,0.09433962264150944,0,0.11204076107590592,0,0.13716674350784397,0
2016-01-14,0,0.09433962264150944,0,0.049681830151757624,0,0.15128989592392564,0
2016-02-16,0,0.09433962264150944,0,0.16759714803883416,0,0.15243382431460822,0
2016-03-10,0,0.09433962264150944,0,0.07044707588876203,0,0.15250498345546426,0
2016-04-19,0,0.09433962264150944,0,0.18852399896568509,0,0.12211711987240854,0
2016-05-13,1,1.0,1,0.3085150220494656,0,0.12149865088281642,0
2016-06-09,0,0.09433962264150944,0,0.176968027377471,0,0.11634336242353027,0
2016-07-14,0,0.4666666666666667,0,0.21993831894522248,0,0.16167153982555482,0
2016-08-11,0,0.09433962264150944,0,0.07109501150445512,0,0.16145914422982363,0
2016-09-09,0,0.09433962264150944,0,0.07559122183534286,0,0.1607878973825999,0
2016-10-13,0,0.09433962264150944,0,0.12214016348509096,0,0.09734795354598141,0
2016-11-11,0,0.09433962264150944,0,0.08784942196854299,0,0.09690909943459293,0
2016-12-15,0,0.09433962264150944,0,0.20992433293123644,0,0.10070909796671265,0
2017-01-13,0,0.09433962264150944,0,0.13048981093149709,0,0.16288115689706192,0
2017-02-23,0,0.4666666666666667,0,0.23967518064982613,0,0.165550634671602,0
2017-04-13,0,0.0,0,0.1719524994271604,0,0.09463222760010295,0
2017-05-25,0,0.09433962264150944,0,0.057272942892063916,0,0.1161385703455162,0
2017-07-13,0,0.09433962264150944,0,0.11597406561757688,0,0.19692091355606203,0
2017-08-31,0,0.4666666666666667,0,0.1469456841293213,0,0.2281742121608844,0
2017-10-19,1,0.09433962264150944,0,0.5035480037567324,1,0.11171876643805893,0
2017-11-30,0,0.09433962264150944,0,0.2709700882511853,0,0.10692701745081305,0
2018-01-18,0,0.09433962264150944,0,0.05768327315320063,0,0.1175067160731399,0
2018-02-27,0,0.09433962264150944,0,0.07881702828695576,0,0.12086049059257585,0
2018-04-12,0,0.09433962264150944,0,0.042603908073835545,0,0.11733242846933921,0
2018-05-24,0,0.09433962264150944,0,0.13623351167519782,0,0.13470379346176375,0
2018-07-12,0,0.09433962264150944,0,0.09266929811098426,0,0.12192759976890397,0
2018-08-31,0,0.09433962264150944,0,0.14266929811098425,0,0.13601193676838566,0
2018-10-18,1,0.09433962264150944,0,0.2769661124077985,0,0.21769131538266406,0
2018-11-30,0,0.09433962264150944,0,0.07630334483778844,0,0.24603097523632245,0
2019-01-24,0,0.09433962264150944,0,0.08589395136387884,0,0.20690254269485872,0
2019-02-28,0,0.09433962264150944,0,0.17734462278630891,0,0.2087075353441197,0
2019-04-18,0,0.09433962264150944,0,0.08303680850673598,0,0.18999410354352156,0
2019-05-31,1,0.09433962264150944,0,0.28871214415383023,0,0.18997548423724736,0
2019-07-18,0,0.09433962264150944,0,0.10867728586092303,0,0.2799346741618134,0
2019-08-30,1,0.4666666666666667,0,0.5903645309368993,1,0.29801269862333146,0
2019-10-16,0,0.4666666666666667,0,0.18013702323668423,0,0.1958472251881292,0
2019-11-29,0,0.09433962264150944,0,0.15871622183534287,0,0.19185035764023448,0
2020-01-17,0,0.09433962264150944,0,0.07435531616395331,0,0.1720459883874106,0
2020-02-27,0,0.09433962264150944,0,0.04693826547270908,0,0.1683556522508433,0
2020-03-16,1,0.4666666666666667,0,0.5192916364681069,1,0.16672437373423493,0
2020-04-09,1,0.4666666666666667,0,0.5613774420024419,1,0.5584986806331033,1
2020-05-28,0,0.0,0,0.2193730158730159,0,0.2541150402205077,0
2020-07-16,0,0.0,0,0.15264507469654529,0,0.13853442814232694,0
2020-08-27,0,0.0,0,0.1263544320954188,0,0.12216811027472937,0
2020-10-14,0,0.09433962264150944,0,0.10069621396945876,0,0.1260960950624766,0
2020-11-26,0,0.09433962264150944,0,0.1251406584139032,0,0.1381656193659898,0
2021-01-15,0,0.4666666666666667,0,0.09817096144420621,0,0.09035865498928392,0
2021-02-25,0,0.09433962264150944,0,0.24919206094091545,0,0.09077138680303705,0
2021-04-15,0,0.09433962264150944,0,0.14557671795057248,0,0.5413100754661997,1
2021-05-27,0,0.09433962264150944,0,0.17258112261556618,0,0.5255380172878039,1
2021-07-15,1,0.4666666666666667,0,0.21535918548304003,0,0.34067919451198364,0
2021-08-26,0,0.4666666666666667,0,0.17982749942716042,0,0.3423105276792828,0
2021-10-12,1,1.0,1,0.48622648864161455,0,0.5667537027027233,1
2021-11-25,1,1.0,1,0.4535535245284331,0,0.5593747666444493,1
2022-01-14,0,0.09433962264150944,0,0.20907928908645568,0,0.48370578793271835,0
2022-02-24,1,0.4666666666666667,0,0.6504906204906206,1,0.4509419577390033,0
