Model,ACC,ROC_AUC,BT_ACC,BT_ROC_AUC
Tree,0.9583333333333334,0.9513157894736842,0.96,0.9974999999999999
RForest,0.8958333333333334,1.0,0.9,1.0
MLP,1.0,1.0,1.0,1.0
